country,total_prod_value
Brunei Darussalam,159282.95689999996
Syrian Arab Republic,268030.45190000004
Pakistan,76450.6658
Mexico,2970033.322699999
Colombia,822525.9986
Qatar,733933.6495
Nigeria,2213695.8132
India,740128.8153
Morocco,148.9469
Ecuador,548870.208
Lithuania,3281.1357000000003
Hungary,17253.8824
Israel,842.5871
Canada,2836577.4408000004
Cuba,60737.214700000004
Bulgaria,480.9777
Equatorial Guinea,254696.01389999996
Argentina,636202.986
Australia,430233.59739999997
Angola,1531998.4661
Bahrain,204722.5066
"Moldova, Republic of",148.95040000000003
Kyrgyzstan,2398.8905
Mongolia,9916.326100000002
United Kingdom,1329008.0015
Cote d'Ivoire,34858.1261
Cameroon,87602.495700000014
"Congo, The Democratic Republic of ",24689.219199999996
Jordan,22.835699999999996
New Zealand,33662.5384
Brazil,2272732.9474
Russia Federation,9962434.6374
Ghana,74686.6808
"Korea, Republic of",522.8547
Sudan,255701.88739999998
Romania,88416.802199999991
Egypt,680855.30609999993
Netherlands,28822.292
Austria,17442.950100000002
Saudi Arabia,9764604.5578
Guatemala,15714.749199999998
Tajikistan,499.81679999999994
Venezuela,2941767.267
Peru,72316.3202
Libyan Arab Jamahiriya,1240568.2271999998
Denmark,245034.04450000005
Uzbekistan,90616.3179
Mozambique,170.1828
Italy,107678.42429999998
Kazakstan,1557538.5192
Germany,58563.146099999991
Trinidad and Tobago,105312.90849999999
Georgia,1198.3506
Malaysia,673973.1158
France,19760.3448
Myanmar,16468.882299999997
Azerbaijan,719850.53320000006
Niger,8328.012999999999
Indonesia,958679.1917
Vietnam,324681.84699999995
Spain,3638.9798999999994
Japan,5121.5899999999992
Ukraine,50392.604100000004
Belarus,36170.731300000007
Algeria,1186021.9225
Republic of Serbia,18628.6827
Albania,16044.264000000001
Czechia,3905.9483
Slovenia,2.1905
"Iran, Islamic Republic of",3711185.6566
South Africa,6143.9768
Bolivia,43131.7607
Poland,17822.151299999998
Iraq,3155868.5624000006
"Taiwan, Province of China",340.511
Turkmenistan,209469.34489999997
Croatia,15265.768300000002
United Arab Emirates,2742274.3597
Turkey,54211.7569
Philippines,15116.033899999999
China,4023632.765
Yemen,230150.64299999995
Tunisia,62794.549800000015
Kuwait,2750103.3439
Chile,4237.7771
Thailand,222285.38100000002
Greece,2134.1214
Oman,950707.72979999986
Norway,2174949.9614999997
Gabon,249540.1244
United States,7867581.506
Congo,286135.8884
Slovakia,378.8583
G20,44487731.9652
OEU,4083888.1894999994
EU28,1958890.0193
WLD,78775218.903900012
EU27_2020,629882.01780000015
